address,preseason_external_tx,is_new_account,op_count_season2,funder_wallet_count,has_batch_funder,is_hf_by_80pct,bw_flag,ml_flag,fd_flag,hf_flag,any_flag
0x10b210d47a425b180b6916fc5df3a844269b4538,0,1,12,0,0,1,0,0,0,1,1
0x91669d874785bf6f90e017b014c2789bac243862,0,1,0,0,0,0,0,0,0,0,0
0xf8e980b6115ba6668eb239e1ea0c1d980d095fe9,0,1,0,0,0,0,0,0,0,0,0
0xdde507041a4e8768f60ca001c4b0115959503eae,27,0,20,12,1,0,1,0,0,0,1
0xdf120faa75c60b846bff87334d92931807b9ffad,0,1,0,0,0,0,0,0,0,0,0
0x74468390202ed9975933ecbcb522bfd77b768f0d,13,0,18,0,0,0,0,0,0,0,0
0x6d97e9b4868e930f6006e8e8387acd5d63153204,1000,0,66,0,0,0,0,0,0,0,0
0xad050bf165033dd1b86d23a75504e079b2053f2c,889,0,36,0,0,0,0,0,0,0,0
0xbdd3d46bc79d846f16976f2688e2461fae2a1e7b,0,1,0,0,0,0,0,0,0,0,0
0x29243eabab8120c439efeed28c153fb67485bfe7,0,1,0,0,0,0,0,0,0,0,0
0x31bad57adfa0dbac98e12d3b250027e2482343b7,0,1,43,0,0,1,0,0,0,1,1
0x13d4cdc5f0ad23caece0425b5a40ca239f17fdf6,0,1,0,12,1,0,1,0,0,0,1
0x1287a9a82117c9702aab753cba8d5cabfa5d923a,266,0,19,0,0,0,0,0,0,0,0
0x7cbf6b60e3851b60cdbf9a6f1c891a6b52cf6dc2,0,1,0,0,0,0,0,0,1,0,1
0x2f827cbf21bdcc9eb352a1e03db6854f9289281c,809,0,60,0,0,0,0,0,0,0,0
0x6649a5d4ae7ac73f2f6b6baf3b722d8dcb281e33,0,1,0,0,0,0,0,0,0,0,0
0x648170077c732e74d2cea0319b874972b1ac216e,0,1,0,0,0,0,0,0,0,0,0
0xc965732d70c793681974e7da720cda6fa74d3045,38,0,17,0,0,0,0,0,0,0,0
0x3771f84487b4682beb24b8c90ec2ee42e619590f,0,1,0,86,1,0,1,0,0,0,1
0xcddcbd9c2665a71cd4cf5d1fac0740bf7643f260,842,0,11,0,0,0,0,0,0,0,0
0xcb873a872e0750420d6be76bcacb9201dd34c73e,0,1,0,0,0,0,0,0,1,0,1
0x1ad31eeee92e8c16687c9da44be85c187d8c4064,0,1,0,0,0,0,0,0,0,0,0
0x2b7ef92351c9351638d28d615a9c29e474e778a9,0,1,0,0,0,0,0,0,1,0,1
0x13c23d9fa4b5ed01f2fb5b703c4c619096a6fef4,0,1,0,6,1,0,1,0,1,0,1
0xe29daafd53648c89dbc2c24dd68ffa236f07c7fd,838,0,240,0,0,0,0,0,0,0,0
0xc406bb4edd8392ae8ee436c085e74501e32ad90a,0,1,0,0,0,0,0,0,0,0,0
0x3e1ffa5f95dd6218ec4955216e3df532385c0e2d,536,0,43,0,0,0,0,0,0,0,0
0x170a7357aefd7cfb1aa5b7e1802a7d197310aa1b,0,1,0,0,0,0,0,0,0,0,0
0xdbce3a6524299cc1329ad3660810007aac6e7aa9,0,1,0,0,0,0,0,0,0,0,0
0xfa880465c4c1bd5bdf77c06f71bc0d5f77d383ad,0,1,0,0,0,0,0,0,0,0,0
0x4797d1f5409eab4a343096ff2e237dac2f5c8f7a,0,1,0,0,0,0,0,0,1,0,1
0xa8badcd1cd37215bbc616829d13c75b3de910d41,0,1,0,0,0,0,0,0,0,0,0
0x25abf84178edee14d5635b3596cc60a1e06fea37,0,1,25,0,0,1,0,0,0,1,1
0x92b85e487502e93ea96640aefd4f0dc9140a8e41,0,1,0,0,0,0,0,0,0,0,0
0x030ab7b4cebc46f98dab5a1aa454f17f5ed0642c,0,1,0,0,0,0,0,0,0,0,0
0x359271e5f6e1aa8376fcf79c75a056570d1ad021,341,0,193,0,0,0,0,0,0,0,0
0x3bb8561e04e0a205bf7101ebd3be9a0ce9808659,0,1,0,0,0,0,0,0,0,0,0
0x42560517b33a7e68cda1640aa47b6546ba585e30,1000,0,57,0,0,0,0,0,0,0,0
0x9ede3c9dd3edfb3ed8d844054f6e3eae31232d23,0,1,0,0,0,0,0,0,0,0,0
0xe919efbf0fe658e73b0b32dc3125d050bf2373f4,3,0,20,0,0,1,0,0,0,1,1
0xd8b3affa8747b9aea0f60ff97d7797942276fcda,0,1,0,0,0,0,0,0,0,0,0
0x97598d9294b0be17345627fde188b0597f21ff7f,0,1,15,0,0,1,0,0,0,1,1
0x6ec2bdcbc5804a4fbdfa578e46918cd0040db843,0,1,0,0,0,0,0,0,0,0,0
0x2222788e146928bbbc26958e5aa04e5328c25476,0,1,0,5,1,0,1,0,0,0,1
0x12d6de38c12d8c1d661238742e918a7c14274136,0,1,0,0,0,0,0,0,0,0,0
0x1aac098cf9ed6d8050dfc4fd4ab111cc3a1ff5de,0,1,0,0,0,0,0,0,0,0,0
0xc47fae56f3702737b69ed615950c01217ec5c7c8,0,1,0,0,0,0,0,0,0,0,0
0x300dcfb1a9b0b3aa55bef7542bc30ed60c67913c,0,1,93,0,0,1,0,0,0,1,1
0x62f05be70ffee4dc631009bc96c6573ba14481e6,0,1,0,0,0,0,0,0,1,0,1
0x937a1fab2930345a4fd11d10567e82d1b9634c64,913,0,32,0,0,0,0,0,0,0,0
0xe1a91781280fbbcdb46d3fc9ded5b5239cfa2825,0,1,0,0,0,0,0,0,1,0,1
0xfb5d5ce4a26d964a94889e17a315382632546165,0,1,0,0,0,0,0,0,0,0,0
0xf0b4ce5dda1f02f73a50539198e8a8f074bc9098,0,1,0,0,0,0,0,0,0,0,0
0x03d720a5580e949f8b701ea4789a381aaf9b02da,0,1,0,0,0,0,0,0,0,0,0
0xf98b2bd884d921770a7b34ba797130f43ba465fc,855,0,12,0,0,0,0,0,1,0,1
0xe4cf7060600ba456783c23e35fcc7ee8a2d2eeac,1000,0,122,0,0,0,0,0,0,0,0
0xb596b66d3f75804b04d99c4bdbd2a75d58e1c919,0,1,0,0,0,0,0,0,0,0,0
0x3d52e2fec50517e5da5d56738cb8ad3bd6a3a51f,284,0,15,0,0,0,0,0,0,0,0
0x9f28152ae399a6f1b9760c04972de4f9303c0c9f,1000,0,196,0,0,0,0,0,0,0,0
0x6cfab518eed2486bdc5e8605471c7b1999157363,0,1,0,0,0,0,0,0,0,0,0
0x5e9b8c326cb82f7e1fb6fefb98110509b76e67ce,0,1,0,0,0,0,0,0,0,0,0
0x6b0e4ea76f522cc337e4683e01d5b5779ab67f7b,1000,0,21,0,0,0,0,0,0,0,0
0xbca40a72d8a2862e83ec41a1bbfcd79f31a4c5eb,63,0,30,0,0,0,0,0,1,0,1
0xbe73fa76f7e34675b849c36585d79e5dd770a833,0,1,0,0,0,0,0,0,0,0,0
